APPLE iPhone 14 Plus  
Price: ,"₹89,900"
Available colors: ,"['(PRODUCT)RED', 'Blue', 'Midnight']"
Available Storages: ,"['128 GB', '512 GB']"
General
In The Box,"Handset, USB-C to Lightning Cable, Documentation"
Model Number,MQ523HN/A
Model Name,iPhone 14 Plus
Color,Blue
Browse Type,Smartphones
SIM Type,Dual Sim(Nano + eSIM)
Hybrid Sim Slot,No
Touchscreen,Yes
OTG Compatible,No
Sound Enhancements,Built-in Stereo Speaker
Display Features
Display Size,17.02 cm (6.7 inch)
Resolution,2778 x 1284 Pixels
Resolution Type,Super Retina XDR Display
GPU,5 Core
Display Type,Super Retina XDR Display
Other Display Features,"HDR Display, True Tone, Wide Colour (P3), Haptic Touch, Contrast Ratio: 20,00,000:1, Max Brightness: 800 nits, Peak Brightness: 1,200 nits, Fingerprint Resistant Oleophobic Coating, Support for Display of Multiple Languages and Characters Simultaneously"
Os & Processor Features
Operating System,iOS 16
Processor Type,"A15 Bionic Chip, 6 Core Processor"
Processor Core,Hexa Core
Operating Frequency,"5G NR (Bands n1, n2, n3, n5, n7, n8, n12, n20, n25, n26, n28, n30, n38, n40, n41, n48, n53, n66, n70, n77, n78, n79), 4G FDD-LTE (B1, B2, B3, B4, B5, B7, B8, B12, B13, B17, B18, B19, B20, B25, B26, B28, B30, B32, B66), 4G TD-LTE (B34, B38, B39, B40, B41, B42, B46, B48, B53), 3G UMTS/HSPA+/DC-HSDPA (850, 900, 1700/2100, 1900, 2100 MHz), 2G GSM/EDGE (850, 900, 1800, 1900 MHz)"
Memory & Storage Features
Internal Storage,128 GB
Camera Features
Primary Camera Available,Yes
Primary Camera,12MP + 12MP
Primary Camera Features,"Dual Camera Setup: 12MP Main Camera (Focal Length: 26 mm, f/1.5 Aperture, Sensor Shift Optical Image Stabilisation, Seven Element Lens, 100% Focus Pixels) + 12MP Ultra Wide Camera (Focal Length: 13 mm, f/2.4 Aperture and FOV: 120 Degree, Five Element Lens), 2X Optical Zoom Out, Digital Zoom Upto 5X, Sapphire Crystal Lens Cover, True Tone Flash, Camera Feature: Photonic Engine, Deep Fusion, Smart HDR 4, Portrait Mode with Advanced Bokeh and Depth Control, Portrait Lighting with Six Effects (Natural, Studio, Contour, Stage, Stage Mono, High Key Mono), Night Mode, Panorama (up to 63MP), Photographic Styles, Wide Colour Capture for Photos and Live Photos, Lens Correction (Ultra Wide), Advanced Red Eye Correction, Auto Image Stabilisation, Burst Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG"
Optical Zoom,Yes
Secondary Camera Available,Yes
Secondary Camera,12MP Front Camera
Secondary Camera Features,"12MP Camera Setup: (f/1.9 Aperture), Camera Feature: Autofocus with Focus Pixels, Six Element Lens, Retina Flash, Photonic Engine, Deep Fusion, Smart HDR 4, Portrait Mode with Advanced Bokeh and Depth Control, Portrait Lighting with Six Effects (Natural, Studio, Contour, Stage, Stage Mono, High Key Mono), Animoji and Memoji, Night Mode, Photographic Styles, Apple ProRAW, Wide Colour Capture for Photos and Live Photos, Lens Correction, Auto Image Stabilisation, Burst Mode, Video Feature: Timelapse Video with Stabilisation, Night Mode Timelapse, QuickTake Video, Cinematic Video Stabilisation (4K, 1080p and 720p)"
Flash,Rear: LED True Tone Flash | Front: Retina Flash
HD Recording,Yes
Full HD Recording,Yes
Video Recording,Yes
Video Recording Resolution,"Rear Camera: 4K (at 24 fps/ 25 fps/ 30 fps/ 60 fps), 1080P (at 120 fps/60 fps/30 fps/ 25 fps), 720P (at 30 fps) | Front Camera: 4K (at 24 fps/ 25 fps/ 30 fps/ 60 fps), 1080P (at 120 fps/60 fps/30 fps/ 25 fps)"
Digital Zoom,5X
Frame Rate,"240 fps, 120 fps, 60 fps, 30 fps, 25 fps, 24 fps"
Dual Camera Lens,Primary Camera
Call Features
Video Call Support,Yes
Speaker Phone,Yes
Connectivity Features
Network Type,"5G, 4G VOLTE, 4G, 3G, 2G"
Supported Networks,"5G, 4G VoLTE, 4G LTE, UMTS, GSM"
Internet Connectivity,"5G, 4G, 3G, Wi-Fi, EDGE"
Bluetooth Support,Yes
Bluetooth Version,v5.3
Wi-Fi,Yes
NFC,Yes
Map Support,Google Maps
GPS Support,Yes
Other Details
Smartphone,Yes
SIM Size,Nano Sim + eSIM
Graphics PPI,458 PPI
Sensors,"Face ID, Barometer, High Dynamic Range Gyro, High-G Accelerometer, Proximity Sensor, Dual Ambient Light Sensors"
Supported Languages,"English (Australia, Canada, India, Singapore, UK, US), Chinese (Simplified, Traditional, Traditional Hong Kong), French (Canada, France), German, Italian, Japanese, Korean, Spanish (Latin America, Mexico, Spain), Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, Greek, Hebrew, Hindi, Hungarian, Indonesian, Malay, Norwegian, Polish, Portuguese (Brazil, Portugal), Romanian, Russian, Slovak, Swedish, Thai, Turkish, Ukrainian, Vietnamese"
Browser,Safari
