SAMSUNG Galaxy S23 Ultra 5G Smartphone  
Price: ,"₹1,49,990"
Available colors: ,"['Cream', 'Phantom Black']"
Available RAMS: ,[]
General
In The Box,"Handset, Sim Ejection Pin, USB Cable, Manual, Pen"
Model Number,SM-S918BZKCINS
Model Name,Galaxy S23 Ultra 5G Smartphone
Color,Phantom Black
Browse Type,Smartphones
SIM Type,Dual Sim
Hybrid Sim Slot,Yes
Touchscreen,Yes
OTG Compatible,Yes
Quick Charging,Yes
Display Features
Display Size,17.27 cm (6.8 inch)
Resolution,3088 x 1440 PIxels
Resolution Type,Quad HD+
GPU,Qualcomm Adreno 740
Display Type,Full HD+ Dynamic AMOLED 2X
HD Game Support,Yes
Other Display Features,Adaptive Refresh Rate: 1 Hz - 120 Hz
Os & Processor Features
Operating System,Android 13
Processor Type,Qualcomm Snapdragon 8 Gen 2
Processor Core,Octa Core
Primary Clock Speed,3.36 GHz
Secondary Clock Speed,3.36 GHz
Operating Frequency,2G GSM: 850/900/1800/1900 MHz
Memory & Storage Features
Internal Storage,256 GB
RAM,12 GB
Total Memory,256 GB
Camera Features
Primary Camera Available,Yes
Primary Camera,200MP + 10MP + 12MP + 10MP
Primary Camera Features,"Camera Feature: AR Zone, Bixby Vison, Director's View, Food, Hyperlapse, Night, Panorama, Photo, Portrait, Video Feature: Portrait Video, Pro, Pro Video, Single Take, Slow Motion, Super Slow Mo, Video"
Optical Zoom,Yes
Secondary Camera Available,Yes
Secondary Camera,12MP Front Camera
Secondary Camera Features,NA
Flash,Yes
HD Recording,Yes
Full HD Recording,Yes
Video Recording,Yes
Video Recording Resolution,7680 x 4320 pixel
Digital Zoom,Upto 100x
Frame Rate,30 fps
Image Editor,Yes
Dual Camera Lens,Primary Camera
Call Features
Call Wait/Hold,Yes
Hands Free,Yes
Video Call Support,Yes
Call Divert,Yes
Phone Book,Yes
Call Timer,Yes
Speaker Phone,Yes
Call Records,Yes
Logs,Yes
Connectivity Features
Network Type,"5G, 4G, 3G, 2G"
Supported Networks,"5G, 4G LTE, WCDMA, GSM"
Internet Connectivity,Yes
3G Speed,5.76 Mbps
GPRS,Yes
Micro USB Port,Yes
Micro USB Version,USB 3.2 Gen 1
Bluetooth Support,Yes
Bluetooth Version,v5.3
Wi-Fi,Yes
Wi-Fi Version,"802.11 a/b/g/n/ac/ax (2.4 GHz | 5 GHz 6 GHz), HE160, MIMO, 1024-QAM"
Wi-Fi Hotspot,Yes
NFC,Yes
USB Tethering,Yes
USB Connectivity,Yes
EDGE,Yes
Audio Jack,Type-C
Map Support,Yes
GPS Support,Yes
Other Details
Smartphone,Yes
Touchscreen Type,Full Touch Capacitance
SIM Size,Nano Sim
User Interface,One UI 5.1 (Based on Android 13)
Social Networking Phone,Yes
Instant Message,Yes
Business Phone,Yes
Removable Battery,No
MMS,Yes
SMS,Yes
Keypad,No
Voice Input,Yes
Graphics PPI,500 PPI
Predictive Text Input,Yes
SIM Access,Dual/Single
Sensors,"Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, Proximity Sensor"
Browser,"Google Chrome, Samsung S-Browser 19.0"
Ringtones Format,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DFF, DSF, APE"
Other Features,"Armor Aluminum Frame, Gorilla Glass Victus 2, Water Resistant IP68, Samsung Health, Samsung Wallet"
Multimedia Features
FM Radio,No
FM Radio Recording,No
Audio Formats,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA, DFF, DSF, APE"
Music Player,Yes
Video Formats,"MP4, M4V, 3GP, 3G2, AVI, FLV, MKV, WEBM"
Battery & Power Features
Battery Capacity,5000 mAh
Dual Battery,No
Dimensions
Width,78.1 mm
Height,163.4 mm
Depth,8.9 mm
Weight,233 g
Warranty
Warranty Summary,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
Covered in Warranty,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
Domestic Warranty,1 Year
